municipio_distrito;fecha_informe;casos_confirmados_activos_ultimos_14dias;tasa_incidencia_acumulada_activos_ultimos_14dias;casos_confirmados_ultimos_14dias;tasa_incidencia_acumulada_ultimos_14dias;casos_confirmados_totales;tasa_incidencia_acumulada_total;codigo_geometria
Madrid-San Blas - Canillejas;2020/08/11 09:31:00;62;39,21;160;101,17;1875;1185,64;79620
Madrid-Barajas;2020/08/11 09:31:00;19;38,82;41;83,77;539;1101,24;79621
Madrid-Moratalaz;2020/08/11 09:31:00;44;46,53;103;108,91;1675;1771,17;79614
Madrid-Ciudad Lineal;2020/08/11 09:31:00;91;42,07;276;127,61;2871;1327,42;79615
Madrid-Hortaleza;2020/08/11 09:31:00;57;30,29;152;80,77;2303;1223,78;79616
Madrid-Villaverde;2020/08/11 09:31:00;75;50,35;337;226,26;2037;1367,61;79617
Madrid-Villa de Vallecas;2020/08/11 09:31:00;54;48,93;113;102,39;1474;1335,57;79618
Madrid-Vicálvaro;2020/08/11 09:31:00;24;33,29;84;116,52;1064;1475,91;79619
Alcorcón;2020/08/11 09:31:00;65;38,12;208;121,98;2253;1321,3;72
Navalcarnero;2020/08/11 09:31:00;;10,24;24;81,92;251;856,71;967
San Agustín del Guadalix;2020/08/11 09:31:00;;22,42;11;82,22;115;859,56;1296
Las Rozas de Madrid;2020/08/11 09:31:00;32;33,4;67;69,93;996;1039,51;1277
Moraleja de Enmedio;2020/08/11 09:31:00;;0;;19,47;31;603,58;894
Valdaracete;2020/08/11 09:31:00;;0;;0;7;1149,43;1551
Pozuelo del Rey;2020/08/11 09:31:00;;87,18;;87,18;5;435,92;1163
Perales de Tajuña;2020/08/11 09:31:00;;34,07;;102,21;16;545,14;1104
Valdemorillo;2020/08/11 09:31:00;;23,97;6;47,93;62;495,29;1603
Navalafuente;2020/08/11 09:31:00;;0;;0;8;552,1;941
Velilla de San Antonio;2020/08/11 09:31:00;;32,69;11;89,9;94;768,22;1678
Villanueva de la Cañada;2020/08/11 09:31:00;;18,65;10;46,63;189;881,32;1760
Villanueva del Pardillo;2020/08/11 09:31:00;;23,28;21;122,24;143;832,36;1776
Nuevo Baztán;2020/08/11 09:31:00;;15,93;5;79,67;42;669,22;1006
Villamantilla;2020/08/11 09:31:00;;0;;0;8;555,17;1757
Villamanta;2020/08/11 09:31:00;;0;;0;17;665,36;1744
Cabanillas de la Sierra;2020/08/11 09:31:00;;132,28;;132,28;11;1455,03;297
Cenicientos;2020/08/11 09:31:00;;0;;0;39;1918,35;376
Puentes Viejas;2020/08/11 09:31:00;;0;;147,28;;441,83;9020
Aranjuez;2020/08/11 09:31:00;11;18,45;19;31,88;538;902,58;133
Cercedilla;2020/08/11 09:31:00;;28,47;5;71,16;139;1978,37;382
Santorcaz;2020/08/11 09:31:00;;0;;0;8;902,93;1369
Coslada;2020/08/11 09:31:00;20;24,49;45;55,11;958;1173,14;493
Morata de Tajuña;2020/08/11 09:31:00;;0;;26,03;119;1548,87;915
Navarredonda y San Mamés;2020/08/11 09:31:00;;0;;0;;775,19;973
Venturada;2020/08/11 09:31:00;;0;;0;;138,7;1697
Navacerrada;2020/08/11 09:31:00;;0;;0;26;874,83;936
Montejo de la Sierra;2020/08/11 09:31:00;;0;;0;;283,29;881
Fresno de Torote;2020/08/11 09:31:00;;0;;0;16;720,4;571
Valdemaqueda;2020/08/11 09:31:00;;0;;0;5;640,2;1599
Navas del Rey;2020/08/11 09:31:00;;0;;102,81;86;2947,22;992
Olmeda de las Fuentes;2020/08/11 09:31:00;;0;;0;;1149,43;1013
Bustarviejo;2020/08/11 09:31:00;;39,95;;39,95;12;479,42;284
Becerril de la Sierra;2020/08/11 09:31:00;;52,5;13;227,51;49;857,54;186
Fuenlabrada;2020/08/11 09:31:00;110;56,79;304;156,94;2171;1120,81;587
Garganta de los Montes;2020/08/11 09:31:00;;0;;0;;288,18;626
Pinto;2020/08/11 09:31:00;8;15,23;31;59,02;414;788,18;1132
Berzosa del Lozoya;2020/08/11 09:31:00;;0;;0;;975,61;203
Los Santos de la Humosa;2020/08/11 09:31:00;;0;;115,83;24;926,64;1375
El Álamo;2020/08/11 09:31:00;;0;11;116,16;124;1309,4;40
Pelayos de la Presa;2020/08/11 09:31:00;;0;;38,52;22;847,46;1090
Galapagar;2020/08/11 09:31:00;16;47,42;49;145,22;373;1105,45;611
Griñón;2020/08/11 09:31:00;;38,76;12;116,29;130;1259,81;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/08/11 09:31:00;;0;;0;;949,37;632
Aldea del Fresno;2020/08/11 09:31:00;;0;;105,71;66;2325,58;88
Carabaña;2020/08/11 09:31:00;;49,75;;49,75;15;746,27;357
Talamanca de Jarama;2020/08/11 09:31:00;;0;;0;68;1763,03;1454
Chapinería;2020/08/11 09:31:00;;0;;85,91;11;472,51;513
Ciempozuelos;2020/08/11 09:31:00;7;28,46;31;126,06;314;1276,84;409
Ajalvir;2020/08/11 09:31:00;;21,22;;63,67;40;848,9;29
San Lorenzo de El Escorial;2020/08/11 09:31:00;;16,33;16;87,1;169;920,03;1317
San Martín de la Vega;2020/08/11 09:31:00;;20,87;68;354,72;187;975,48;1322
Móstoles;2020/08/11 09:31:00;100;47,8;437;208,91;3013;1440,36;920
Leganés;2020/08/11 09:31:00;54;28,44;173;91,12;3722;1960,38;745
Braojos;2020/08/11 09:31:00;;0;;0;;975,61;246
Cubas de la Sagra;2020/08/11 09:31:00;7;109,15;14;218,31;51;795,26;506
Algete;2020/08/11 09:31:00;;19,41;17;82,48;164;795,69;91
Mejorada del Campo;2020/08/11 09:31:00;;17,19;20;85,93;216;928,07;843
Loeches;2020/08/11 09:31:00;;45,5;9;102,38;65;739,39;758
Parla;2020/08/11 09:31:00;45;34,58;114;87,61;999;767,73;1065
Fuentidueña de Tajo;2020/08/11 09:31:00;;48,71;;48,71;22;1071,6;604
Ambite;2020/08/11 09:31:00;;0;;0;7;1182,43;112
Torremocha de Jarama;2020/08/11 09:31:00;;0;;0;14;1373,9;1533
Anchuelo;2020/08/11 09:31:00;;0;;78,68;10;786,78;127
Los Molinos;2020/08/11 09:31:00;;45,57;5;113,92;65;1480,98;875
Soto del Real;2020/08/11 09:31:00;;22,73;6;68,19;89;1011,48;1441
Valverde de Alcalá;2020/08/11 09:31:00;;0;;0;8;1720,43;1662
Fuente el Saz de Jarama;2020/08/11 09:31:00;10;149,34;47;701,91;107;1597,97;590
Horcajo de la Sierra-Aoslos;2020/08/11 09:31:00;;0;;0;;2758,62;702
Valdeolmos-Alalpardo;2020/08/11 09:31:00;;0;;0;11;265,96;1625
Campo Real;2020/08/11 09:31:00;;16,1;;48,31;38;611,92;339
Valdeavero;2020/08/11 09:31:00;;0;;0;10;643,5;1564
Villamanrique de Tajo;2020/08/11 09:31:00;;0;;0;;568,99;1739
Cobeña;2020/08/11 09:31:00;;26,93;;53,85;96;1292,41;416
Fresnedillas de la Oliva;2020/08/11 09:31:00;;63,61;;63,61;10;636,13;565
Valdilecha;2020/08/11 09:31:00;;34,09;;102,28;29;988,75;1659
El Berrueco;2020/08/11 09:31:00;;0;;0;12;1578,95;210
Pezuela de las Torres;2020/08/11 09:31:00;;0;;0;;237,53;1111
Villar del Olmo;2020/08/11 09:31:00;;49,73;;49,73;8;397,81;1795
Guadarrama;2020/08/11 09:31:00;;24,95;11;68,61;249;1553,14;685
San Martín de Valdeiglesias;2020/08/11 09:31:00;;11,82;;23,64;127;1501,36;1338
Torrelodones;2020/08/11 09:31:00;;16,87;16;67,46;384;1619,09;1527
Boadilla del Monte;2020/08/11 09:31:00;11;20,16;39;71,47;462;846,62;225
Torrejón de Velasco;2020/08/11 09:31:00;;0;;0;27;616,16;1505
Villanueva de Perales;2020/08/11 09:31:00;;0;;0;5;319,9;1782
Tielmes;2020/08/11 09:31:00;;37,74;;113,21;41;1547,17;1467
San Sebastián de los Reyes;2020/08/11 09:31:00;26;29,12;125;140,02;798;893,86;1343
Guadalix de la Sierra;2020/08/11 09:31:00;;0;;0;55;885,1;679
Humanes de Madrid;2020/08/11 09:31:00;5;25,33;18;91,17;180;911,72;730
Chinchón;2020/08/11 09:31:00;;0;;18,76;37;694,05;528
Cadalso de los Vidrios;2020/08/11 09:31:00;;32,91;;32,91;16;526,49;318
Hoyo de Manzanares;2020/08/11 09:31:00;;11,86;;47,43;57;675,84;724
Torrejón de la Calzada;2020/08/11 09:31:00;5;56,36;6;67,63;52;586,11;1492
Estremera;2020/08/11 09:31:00;;0;;0;11;873,02;552
Corpa;2020/08/11 09:31:00;;0;;0;6;841,51;480
Meco;2020/08/11 09:31:00;;13,98;5;34,95;160;1118,49;838
Zarzalejo;2020/08/11 09:31:00;;60,31;;120,63;46;2774,43;1837
Arganda del Rey;2020/08/11 09:31:00;14;25,28;32;57,77;467;843,13;148
Collado Mediano;2020/08/11 09:31:00;;28,74;;28,74;39;560,51;468
Daganzo de Arriba;2020/08/11 09:31:00;;0;11;107,79;62;607,55;534
Manzanares El Real;2020/08/11 09:31:00;;33,94;6;67,87;56;633,48;822
Buitrago del Lozoya;2020/08/11 09:31:00;;0;;53,08;20;1061,57;278
Valdelaguna;2020/08/11 09:31:00;;0;;0;;106,72;1570
Valdepiélagos;2020/08/11 09:31:00;;0;;171,23;;171,23;1631
Casarrubuelos;2020/08/11 09:31:00;;79,41;9;238,22;21;555,85;360
Miraflores de la Sierra;2020/08/11 09:31:00;;32,74;5;81,86;44;720,37;856
Paracuellos de Jarama;2020/08/11 09:31:00;11;43,53;37;146,42;132;522,38;1049
El Vellón;2020/08/11 09:31:00;;0;;51,07;15;766,09;1684
Lozoya;2020/08/11 09:31:00;;0;;0;;172,12;761
Collado Villalba;2020/08/11 09:31:00;15;23,56;65;102,07;659;1034,88;474
Colmenarejo;2020/08/11 09:31:00;;10,95;;10,95;54;591,46;442
La Cabrera;2020/08/11 09:31:00;;0;;0;12;449,94;301
Sevilla la Nueva;2020/08/11 09:31:00;;32,2;8;85,86;169;1813,69;1415
Redueña;2020/08/11 09:31:00;;0;;0;;769,23;1219
Robledillo de la Jara;2020/08/11 09:31:00;;0;;0;;1250;1245
La Serna del Monte;2020/08/11 09:31:00;;0;;1234,57;;1234,57;1381
Colmenar de Oreja;2020/08/11 09:31:00;;0;;0;32;398,41;437
Rozas de Puerto Real;2020/08/11 09:31:00;;0;;0;5;943,4;1283
Valdemanco;2020/08/11 09:31:00;;0;;0;;218,82;1586
Brunete;2020/08/11 09:31:00;;18,63;7;65,2;129;1201,56;262
Titulcia;2020/08/11 09:31:00;;0;;0;10;761,61;1473
Villa del Prado;2020/08/11 09:31:00;;0;8;122,7;145;2223,93;1718
Lozoyuela-Navas-Sieteiglesias;2020/08/11 09:31:00;;0;;0;;307,93;9015
Quijorna;2020/08/11 09:31:00;;58,16;5;145,39;40;1163,13;1198
Valdemoro;2020/08/11 09:31:00;6;7,9;36;47,38;957;1259,49;1610
Tres Cantos;2020/08/11 09:31:00;;8,38;15;31,43;504;1056,12;9036
Torrelaguna;2020/08/11 09:31:00;;42,02;;63,03;30;630,25;1512
Rivas-Vaciamadrid;2020/08/11 09:31:00;11;12,48;44;49,91;698;791,83;1230
Pedrezuela;2020/08/11 09:31:00;;0;;33,94;42;712,83;1087
Santa María de la Alameda;2020/08/11 09:31:00;;0;;0;7;558,21;1356
Arroyomolinos;2020/08/11 09:31:00;;3,19;20;63,7;237;754,87;151
Moralzarzal;2020/08/11 09:31:00;;0;;15,35;90;690,93;908
Canencia;2020/08/11 09:31:00;;0;;0;;671,14;344
Villarejo de Salvanés;2020/08/11 09:31:00;;27,27;;27,27;47;640,76;1809
Serranillos del Valle;2020/08/11 09:31:00;;24,01;;72,03;42;1008,4;1408
Villaviciosa de Odón;2020/08/11 09:31:00;;3,59;5;17,96;252;905,34;1816
Camarma de Esteruelas;2020/08/11 09:31:00;;27,26;;54,53;53;722,46;323
Robledo de Chavela;2020/08/11 09:31:00;;0;;23,42;32;749,41;1258
Patones;2020/08/11 09:31:00;;0;;0;16;2957,49;1071
Navalagamella;2020/08/11 09:31:00;;0;;76,63;10;383,14;954
Rascafría;2020/08/11 09:31:00;;0;;0;7;420,67;1202
El Boalo;2020/08/11 09:31:00;;26,64;5;66,6;54;719,23;231
Majadahonda;2020/08/11 09:31:00;41;57,08;113;157,32;788;1097,1;800
Batres;2020/08/11 09:31:00;;0;;59,38;11;653,21;170
Alcobendas;2020/08/11 09:31:00;61;52,12;172;146,96;1152;984,28;66
Alcalá de Henares;2020/08/11 09:31:00;49;25,04;154;78,71;2762;1411,71;53
Colmenar Viejo;2020/08/11 09:31:00;;7,88;7;13,79;537;1058,09;455
San Fernando de Henares;2020/08/11 09:31:00;17;43,11;25;63,4;483;1224,89;1300
Villalbilla;2020/08/11 09:31:00;;14,41;5;36,03;106;763,8;1723
El Escorial;2020/08/11 09:31:00;;24,75;10;61,87;160;989,98;549
Colmenar del Arroyo;2020/08/11 09:31:00;;0;;0;54;3130,43;421
Torrejón de Ardoz;2020/08/11 09:31:00;85;64,7;275;209,32;1510;1149,37;1489
Piñuécar-Gandullas;2020/08/11 09:31:00;;0;;540,54;;540,54;1147
Brea de Tajo;2020/08/11 09:31:00;;0;;0;8;1526,72;259
El Molar;2020/08/11 09:31:00;;11,19;;33,56;47;525,84;869
Belmonte de Tajo;2020/08/11 09:31:00;;0;;60,1;6;360,58;199
Torres de la Alameda;2020/08/11 09:31:00;;25,71;10;128,55;108;1388,35;1548
Somosierra;2020/08/11 09:31:00;;0;;0;;2325,58;1436
Alpedrete;2020/08/11 09:31:00;;13,72;12;82,33;173;1186,96;105
Orusco de Tajuña;2020/08/11 09:31:00;;0;;0;24;1929,26;1028
La Hiruela;2020/08/11 09:31:00;;0;;0;;3508,77;698
Cervera de Buitrago;2020/08/11 09:31:00;;0;;0;;2000;395
Getafe;2020/08/11 09:31:00;72;39,26;192;104,7;1941;1058,49;650
Ribatejada;2020/08/11 09:31:00;;0;;0;;255,43;1224
Villaconejos;2020/08/11 09:31:00;;29,52;;29,52;10;295,16;1701
Valdetorres de Jarama;2020/08/11 09:31:00;;0;;22,24;20;444,74;1646
Pinilla del Valle;2020/08/11 09:31:00;;0;;0;;0;
Puebla de la Sierra;2020/08/11 09:31:00;;0;;0;;0;
Robregordo;2020/08/11 09:31:00;;0;;0;;0;
Prádena del Rincón;2020/08/11 09:31:00;;0;;0;;0;
El Atazar;2020/08/11 09:31:00;;0;;0;;0;
Horcajuelo de la Sierra;2020/08/11 09:31:00;;0;;0;;0;
Alameda del Valle;2020/08/11 09:31:00;;0;;0;;0;
Gascones;2020/08/11 09:31:00;;0;;0;;0;
Madarcos;2020/08/11 09:31:00;;0;;0;;0;
Villavieja del Lozoya;2020/08/11 09:31:00;;0;;0;;0;
La Acebeda;2020/08/11 09:31:00;;0;;0;;0;
Pozuelo de Alarcón;2020/08/11 09:31:00;45;52,07;107;123,81;1003;1160,58;1150
Madrid-Retiro;2020/08/04 09:58:00;27;22,63;61;51,12;1820;1525,35;79603
Madrid-Salamanca;2020/08/04 09:58:00;41;28,06;67;45,86;1902;1301,81;79604
Madrid-Centro;2020/08/04 09:58:00;76;56,36;113;83,8;1466;1087,15;79601
Madrid-Arganzuela;2020/08/04 09:58:00;73;47,46;139;90,38;1969;1280,21;79602
Madrid-Chamartín;2020/08/04 09:58:00;32;21,94;70;47,99;1954;1339,74;79605
Madrid-Tetuán;2020/08/04 09:58:00;37;23,41;90;56,95;2378;1504,84;79606
Madrid-Chamberí;2020/08/04 09:58:00;31;22,24;60;43,05;1890;1356,01;79607
Madrid-Fuencarral-El Pardo;2020/08/04 09:58:00;34;13,82;83;33,75;3530;1435,32;79608
Madrid-Moncloa-Aravaca;2020/08/04 09:58:00;26;21,77;56;46,89;1702;1425,23;79609
Madrid-Latina;2020/08/04 09:58:00;100;41,98;168;70,52;3344;1403,76;79610
Madrid-Carabanchel;2020/08/04 09:58:00;97;38,32;208;82,18;3293;1301,07;79611
Madrid-Usera;2020/08/04 09:58:00;99;70,85;190;135,97;1730;1238;79612
Madrid-Puente de Vallecas;2020/08/04 09:58:00;110;46,84;205;87,29;3668;1561,8;79613
Madrid-San Blas - Canillejas;2020/08/04 09:58:00;53;33,51;102;64,5;1776;1123,04;79620
Madrid-Barajas;2020/08/04 09:58:00;14;28,6;27;55,16;518;1058,33;79621
Madrid-Moratalaz;2020/08/04 09:58:00;24;25,38;37;39,12;1595;1686,58;79614
Madrid-Ciudad Lineal;2020/08/04 09:58:00;57;26,35;117;54,1;2663;1231,25;79615
Madrid-Hortaleza;2020/08/04 09:58:00;46;24,44;80;42,51;2194;1165,86;79616
Madrid-Villaverde;2020/08/04 09:58:00;84;56,4;172;115,48;1812;1216,55;79617
Madrid-Villa de Vallecas;2020/08/04 09:58:00;26;23,56;44;39,87;1391;1260,36;79618
Madrid-Vicálvaro;2020/08/04 09:58:00;23;31,9;33;45,78;998;1384,36;79619
Alcorcón;2020/08/04 09:58:00;39;22,87;74;43,4;2095;1228,64;72
Navalcarnero;2020/08/04 09:58:00;;10,24;9;30,72;234;798,69;967
San Agustín del Guadalix;2020/08/04 09:58:00;5;37,37;9;67,27;106;792,29;1296
Las Rozas de Madrid;2020/08/04 09:58:00;24;25,05;30;31,31;945;986,29;1277
Moraleja de Enmedio;2020/08/04 09:58:00;;0;;0;30;584,11;894
Valdaracete;2020/08/04 09:58:00;;0;;0;7;1149,43;1551
Pozuelo del Rey;2020/08/04 09:58:00;;87,18;;87,18;5;435,92;1163
Perales de Tajuña;2020/08/04 09:58:00;;34,07;;34,07;14;477;1104
Valdemorillo;2020/08/04 09:58:00;;31,95;6;47,93;60;479,31;1603
Navalafuente;2020/08/04 09:58:00;;0;;0;8;552,1;941
Velilla de San Antonio;2020/08/04 09:58:00;;24,52;6;49,04;87;711,02;1678
Villanueva de la Cañada;2020/08/04 09:58:00;;4,66;5;23,32;182;848,68;1760
Villanueva del Pardillo;2020/08/04 09:58:00;6;34,92;13;75,67;128;745,05;1776
Nuevo Baztán;2020/08/04 09:58:00;;47,8;;63,73;39;621,41;1006
Villamantilla;2020/08/04 09:58:00;;0;;0;8;555,17;1757
Villamanta;2020/08/04 09:58:00;;0;;0;17;665,36;1744
Cabanillas de la Sierra;2020/08/04 09:58:00;;132,28;;132,28;11;1455,03;297
Cenicientos;2020/08/04 09:58:00;;49,19;;49,19;39;1918,35;376
Puentes Viejas;2020/08/04 09:58:00;;0;;0;;294,55;9020
Aranjuez;2020/08/04 09:58:00;10;16,78;14;23,49;526;882,45;133
Cercedilla;2020/08/04 09:58:00;;14,23;5;71,16;134;1907,2;382
Santorcaz;2020/08/04 09:58:00;;0;;0;8;902,93;1369
Coslada;2020/08/04 09:58:00;13;15,92;19;23,27;922;1129,06;493
Morata de Tajuña;2020/08/04 09:58:00;;13,02;;26,03;117;1522,84;915
Navarredonda y San Mamés;2020/08/04 09:58:00;;0;;0;;775,19;973
Venturada;2020/08/04 09:58:00;;0;;0;;138,7;1697
Navacerrada;2020/08/04 09:58:00;;67,29;;100,94;26;874,83;936
Montejo de la Sierra;2020/08/04 09:58:00;;0;;0;;283,29;881
Fresno de Torote;2020/08/04 09:58:00;;0;;45,02;16;720,4;571
Valdemaqueda;2020/08/04 09:58:00;;0;;0;5;640,2;1599
Navas del Rey;2020/08/04 09:58:00;;0;;68,54;85;2912,95;992
Olmeda de las Fuentes;2020/08/04 09:58:00;;0;;0;;1149,43;1013
Bustarviejo;2020/08/04 09:58:00;;39,95;;39,95;12;479,42;284
Becerril de la Sierra;2020/08/04 09:58:00;;35;7;122,51;43;752,54;186
Fuenlabrada;2020/08/04 09:58:00;92;47,5;171;88,28;1957;1010,33;587
Garganta de los Montes;2020/08/04 09:58:00;;0;;0;;288,18;626
Pinto;2020/08/04 09:58:00;;5,71;7;13,33;383;729,16;1132
Berzosa del Lozoya;2020/08/04 09:58:00;;0;;0;;975,61;203
Los Santos de la Humosa;2020/08/04 09:58:00;;0;;77,22;23;888,03;1375
El Álamo;2020/08/04 09:58:00;;0;5;52,8;115;1214,36;40
Pelayos de la Presa;2020/08/04 09:58:00;;0;;0;21;808,94;1090
Galapagar;2020/08/04 09:58:00;24;71,13;58;171,89;362;1072,85;611
Griñón;2020/08/04 09:58:00;;29,07;;38,76;118;1143,52;663
Gargantilla del Lozoya y Pinilla de Buitrago;2020/08/04 09:58:00;;0;;0;;949,37;632
Aldea del Fresno;2020/08/04 09:58:00;;0;;70,47;65;2290,35;88
Carabaña;2020/08/04 09:58:00;;49,75;;49,75;15;746,27;357
Talamanca de Jarama;2020/08/04 09:58:00;;0;;0;68;1763,03;1454
Chapinería;2020/08/04 09:58:00;;0;;0;9;386,6;513
Ciempozuelos;2020/08/04 09:58:00;8;32,53;15;61;296;1203,64;409
Ajalvir;2020/08/04 09:58:00;;0;;0;37;785,23;29
San Lorenzo de El Escorial;2020/08/04 09:58:00;;10,89;10;54,44;163;887,36;1317
San Martín de la Vega;2020/08/04 09:58:00;9;46,95;10;52,16;122;636,41;1322
Móstoles;2020/08/04 09:58:00;147;70,27;302;144,37;2724;1302,2;920
Leganés;2020/08/04 09:58:00;33;17,38;76;40,03;3581;1886,12;745
Braojos;2020/08/04 09:58:00;;0;;0;;975,61;246
Cubas de la Sagra;2020/08/04 09:58:00;5;77,97;7;109,15;44;686,11;506
Algete;2020/08/04 09:58:00;;9,7;8;38,81;151;732,62;91
Mejorada del Campo;2020/08/04 09:58:00;;0;;17,19;199;855,03;843
Loeches;2020/08/04 09:58:00;;34,13;5;56,88;60;682,52;758
Parla;2020/08/04 09:58:00;32;24,59;44;33,81;912;700,87;1065
Fuentidueña de Tajo;2020/08/04 09:58:00;;0;;0;21;1022,89;604
Ambite;2020/08/04 09:58:00;;0;;0;7;1182,43;112
Torremocha de Jarama;2020/08/04 09:58:00;;0;;0;14;1373,9;1533
Anchuelo;2020/08/04 09:58:00;;0;;0;9;708,1;127
Los Molinos;2020/08/04 09:58:00;;22,78;;45,57;61;1389,84;875
Soto del Real;2020/08/04 09:58:00;;11,36;;22,73;85;966,02;1441
Valverde de Alcalá;2020/08/04 09:58:00;;0;;0;8;1720,43;1662
Fuente el Saz de Jarama;2020/08/04 09:58:00;20;298,69;44;657,11;88;1314,22;590
Horcajo de la Sierra-Aoslos;2020/08/04 09:58:00;;0;;0;;2758,62;702
Valdeolmos-Alalpardo;2020/08/04 09:58:00;;0;;0;11;265,96;1625
Campo Real;2020/08/04 09:58:00;;32,21;;32,21;35;563,61;339
Valdeavero;2020/08/04 09:58:00;;0;;0;10;643,5;1564
Villamanrique de Tajo;2020/08/04 09:58:00;;0;;0;;568,99;1739
Cobeña;2020/08/04 09:58:00;;26,93;;40,39;94;1265,48;416
Fresnedillas de la Oliva;2020/08/04 09:58:00;;0;;0;9;572,52;565
Valdilecha;2020/08/04 09:58:00;;68,19;;68,19;28;954,65;1659
El Berrueco;2020/08/04 09:58:00;;0;;0;12;1578,95;210
Pezuela de las Torres;2020/08/04 09:58:00;;0;;0;;237,53;1111
Villar del Olmo;2020/08/04 09:58:00;;0;;0;7;348,09;1795
Guadarrama;2020/08/04 09:58:00;;6,24;;12,48;240;1497,01;685
San Martín de Valdeiglesias;2020/08/04 09:58:00;;23,64;;35,47;126;1489,54;1338
Torrelodones;2020/08/04 09:58:00;;4,22;5;21,08;371;1564,28;1527
Boadilla del Monte;2020/08/04 09:58:00;13;23,82;31;56,81;440;806,3;225
Torrejón de Velasco;2020/08/04 09:58:00;;0;;0;27;616,16;1505
Villanueva de Perales;2020/08/04 09:58:00;;0;;0;5;319,9;1782
Tielmes;2020/08/04 09:58:00;;0;;0;37;1396,23;1467
San Sebastián de los Reyes;2020/08/04 09:58:00;17;19,04;38;42,56;696;779,6;1343
Guadalix de la Sierra;2020/08/04 09:58:00;;0;;0;55;885,1;679
Humanes de Madrid;2020/08/04 09:58:00;;15,2;7;35,46;168;850,93;730
Chinchón;2020/08/04 09:58:00;;0;;18,76;37;694,05;528
Cadalso de los Vidrios;2020/08/04 09:58:00;;32,91;;32,91;16;526,49;318
Hoyo de Manzanares;2020/08/04 09:58:00;;11,86;7;83;52;616,55;724
Torrejón de la Calzada;2020/08/04 09:58:00;;45,09;5;56,36;50;563,57;1492
Estremera;2020/08/04 09:58:00;;0;;0;11;873,02;552
Corpa;2020/08/04 09:58:00;;0;;0;6;841,51;480
Meco;2020/08/04 09:58:00;9;62,92;12;83,89;160;1118,49;838
Zarzalejo;2020/08/04 09:58:00;;0;;60,31;45;2714,11;1837
Arganda del Rey;2020/08/04 09:58:00;16;28,89;27;48,75;444;801,6;148
Collado Mediano;2020/08/04 09:58:00;;14,37;;28,74;37;531,76;468
Daganzo de Arriba;2020/08/04 09:58:00;;9,8;;9,8;50;489,96;534
Manzanares El Real;2020/08/04 09:58:00;;0;;45,25;53;599,55;822
Buitrago del Lozoya;2020/08/04 09:58:00;;0;;0;19;1008,49;278
Valdelaguna;2020/08/04 09:58:00;;0;;0;;106,72;1570
Casarrubuelos;2020/08/04 09:58:00;;52,94;;105,88;16;423,5;360
Miraflores de la Sierra;2020/08/04 09:58:00;;16,37;;49,12;42;687,62;856
Paracuellos de Jarama;2020/08/04 09:58:00;6;23,74;15;59,36;108;427,4;1049
El Vellón;2020/08/04 09:58:00;;0;;0;14;715,02;1684
Lozoya;2020/08/04 09:58:00;;0;;0;;172,12;761
Collado Villalba;2020/08/04 09:58:00;16;25,13;32;50,25;616;967,35;474
Colmenarejo;2020/08/04 09:58:00;;10,95;;10,95;54;591,46;442
La Cabrera;2020/08/04 09:58:00;;0;;0;12;449,94;301
Sevilla la Nueva;2020/08/04 09:58:00;;21,46;;21,46;163;1749,3;1415
Redueña;2020/08/04 09:58:00;;0;;0;;769,23;1219
Robledillo de la Jara;2020/08/04 09:58:00;;0;;0;;1250;1245
La Serna del Monte;2020/08/04 09:58:00;;0;;1234,57;;1234,57;1381
Colmenar de Oreja;2020/08/04 09:58:00;;0;;37,35;31;385,96;437
Rozas de Puerto Real;2020/08/04 09:58:00;;0;;0;5;943,4;1283
Valdemanco;2020/08/04 09:58:00;;0;;0;;218,82;1586
Brunete;2020/08/04 09:58:00;;0;;27,94;124;1154,99;262
Titulcia;2020/08/04 09:58:00;;0;;0;10;761,61;1473
Villa del Prado;2020/08/04 09:58:00;;0;;0;137;2101,23;1718
Lozoyuela-Navas-Sieteiglesias;2020/08/04 09:58:00;;0;;0;;307,93;9015
Quijorna;2020/08/04 09:58:00;;58,16;;58,16;37;1075,89;1198
Valdemoro;2020/08/04 09:58:00;5;6,58;13;17,11;928;1221,33;1610
Tres Cantos;2020/08/04 09:58:00;14;29,34;23;48,2;496;1039,35;9036
Torrelaguna;2020/08/04 09:58:00;;0;;0;27;567,23;1512
Rivas-Vaciamadrid;2020/08/04 09:58:00;8;9,08;20;22,69;665;754,4;1230
Pedrezuela;2020/08/04 09:58:00;;0;;50,92;42;712,83;1087
Santa María de la Alameda;2020/08/04 09:58:00;;0;;0;7;558,21;1356
Arroyomolinos;2020/08/04 09:58:00;9;28,67;23;73,26;227;723,02;151
Moralzarzal;2020/08/04 09:58:00;;23,03;5;38,38;88;675,57;908
Canencia;2020/08/04 09:58:00;;0;;0;;671,14;344
Villarejo de Salvanés;2020/08/04 09:58:00;;13,63;;27,27;47;640,76;1809
Serranillos del Valle;2020/08/04 09:58:00;;0;;24,01;40;960,38;1408
Villaviciosa de Odón;2020/08/04 09:58:00;;10,78;;14,37;248;890,96;1816
Camarma de Esteruelas;2020/08/04 09:58:00;;13,63;;40,89;51;695,2;323
Robledo de Chavela;2020/08/04 09:58:00;;0;;0;30;702,58;1258
Patones;2020/08/04 09:58:00;;0;;0;16;2957,49;1071
Navalagamella;2020/08/04 09:58:00;;0;;38,31;9;344,83;954
